knjiga,id_knjige,avtor,id_avtor,serija,opis,leto,zalozba,povprecna_ocena,score,st_glasov,st_ocen,st_reviewov,nagrade
The Demigod Diaries,2796,Rick Riordan,15872,True,"What dangers do runaway demigods Luke and Thalia face on their way to Camp Half-Blood? Are Percy and Annabeth up to the task of rescuing stolen goods from a fire-breathing giant who doesn't take kindly to intruders? How exactly are Leo, Piper, and Jason supposed to find a runaway table, dodge a band of party-loving Maenads (who just might be a little psychotic), and stave off a massive explosion...all in one hour or less? With his trademark wit and creativity, Rick Riordan answers these questions and more in three never-before-seen short stories that provide vital back-story to the Heroes of Olympus and Percy Jackson books. Original art, enlightening character interviews and profiles, puzzles, and a quiz add to the fun in this action-packed collection.",2012,Disney-Hyperion Books,4.18,1303,18,45709,1886,False
Vain,2797,Fisher Amelie,4849669,True,"Can be read as a standalone.  If you’re looking for a story about a good, humble girl, who’s been hurt by someone she thought she could trust, only to find out she’s not as vulnerable as she thought she was and discovers an empowering side of herself that falls in love with the guy who helps her find that self, blah, blah, blah...then you’re gonna’ hate my story.  Because mine is not the story you read every time you bend back the cover of the latest trend novel. It’s not the “I can do anything, now that I’ve found you/I’m misunderstood but one day you’ll find me irresistible because of it” tale. Why? Because, if I was being honest with you, I’m a complete witch. There’s nothing redeeming about me. I’m a friend using, drug abusing, sex addict from Los Angeles. I’m every girlfriend’s worst nightmare and every boy’s fantasy.  I’m Sophie Price...And this is the story about how I went from the world’s most envied girl to the girl no one wanted around and why I wouldn’t trade it for anything in the world.",2012,Fisher Amelie,4.23,1303,15,30120,3306,False
Losing It,2798,Cora Carmack,6535659,True,"Sick of being the only virgin among her friends, Bliss Edwards decides the best way to deal with the problem is to lose it as quickly and simply as possible - a one-night stand. But her plan turns out to be anything but simple when she freaks out and leaves a gorgeous guy alone and naked in her bed with an excuse that no one with half-a-brain would ever believe. And as if that weren't embarrassing enough, when she arrives for her first class of her last college semester, she recognizes her new theatre professor. She'd left him naked in her bed about 8 hours earlier.",2012,HarperCollins Publishers,3.74,1302,16,100832,7218,False
Destined,2799,P.C. Cast,17015,True,"In Destined, the forces of Light and Dark collide as their epic struggle focuses on Tulsa’s House of Night. Zoey is home where she belongs, safe with her Guardian Warrior, Stark, by her side – and preparing to face off against Neferet. Kalona has released his hold on Rephaim, and, through Nyx’s gift of a human form, he and Stevie Rae are finally able to be together – if Rephaim can truly walk the path of the Goddess and stay free of his father’s shadow. But is Zoey really safe? Does she truly know those who are closest to her? And will love win when it is tested by the very soul of Darkness?",2011,Atom,4.03,1302,19,75370,2741,False
Pyramids,2800,Terry Pratchett,1654,True,"It's bad enough being new on the job, but Teppic hasn't a clue as to what a pharaoh is supposed to do. After all, he's been trained at Ankh-Morpork's famed assassins' school, across the sea from the Kingdom of the Sun. First, there's the monumental task of building a suitable resting place for Dad -- a pyramid to end all pyramids. Then there are the myriad administrative duties, such as dealing with mad priests, sacred crocodiles, and marching mummies. And to top it all off, the adolescent pharaoh discovers deceit, betrayal - not to mention a headstrong handmaiden - at the heart of his realm.",2008,Harper,3.9,1301,19,75089,1967,True
Lectures on Faith,2801,Joseph Smith Jr.,3009967,False,"Prepared under the direction of the Prophet Joseph Smith, these seven lectures on faith helped early Church leaders and missionaries incorporate the most fundamental principle of the Gospel with greater understanding than ever before. Lectures on Faith occupies a station of respect as part of original literature produced by the Prophet of the Restoration and the bright minds associated with him. With a new compilation of commentary from modern-day prophets and apostles, this edition of Lectures on Faith keeps these doctrinal diamonds accessible. This seminal volume is a precious reminder to Latter-day Saints of their unique doctrinal heritage. It is an essential resource for those seeking the blessings inherent in a careful study of faith in the Lord Jesus Christ.",1993,Deseret Book Co,4.49,1301,16,5425,268,False
Touch of Frost,2802,Jennifer Estep,580315,True,"My name is Gwen Frost, and I go to Mythos Academy; a school of myths, magic and warrior whiz kids, where even the lowliest geek knows how to chop off somebody's head with a sword and Logan Quinn, the hottest Spartan guy in school, also happens to be the deadliest. But lately, things have been weird, even for Mythos. First, mean girl Jasmine Ashton was murdered in the Library of Antiquities. Then, someone stole the Bowl of Tears, a magical artifact that can be used to bring about the second Chaos War. You know, death, destruction and lots of other bad, bad things. Freaky stuff like this goes on all the time at Mythos, but I'm determined to find out who killed Jasmine and why; especially since I should have been the one who died...",2011,Kensington -Teen,3.95,1301,16,29863,2114,True
Witch &amp; Wizard,2803,James Patterson,3780,True,"The world is changing—the government has seized control of every aspect of society, and now kids are disappearing. For fifteen-year-old Wisty and her older brother Whit, life turns upside-down when they are hauled out of bed one night, separated from their parents, and thrown into a secret compound for no reason they can comprehend. The new government is clearly trying to suppress Life, Liberty, and the Pursuit of Being a Normal Teenager.  Imprisoned together and condemned to death, Wisty and Whit begin exhibiting strange abilities and powers they never dreamed of. Maybe there  a reason they were singled out. Can this newly discovered witch and wizard master their skills in time to save themselves, their parents—and maybe the world?",2009,"Little, Brown and Company",3.56,1301,18,53480,4723,False
The Humans,2804,Matt Haig,76360,False,"Body-snatching has never been so heartwarming . . .   is a funny, compulsively readable novel about alien abduction, mathematics, and that most interesting subject of all: ourselves. Combine Douglas Adams’s irreverent take on life, the universe, and everything with a genuinely moving love story, and you have some idea of the humor, originality, and poignancy of Matt Haig’s latest novel.  Our hero, Professor Andrew Martin, is dead before the book even begins. As it turns out, though, he wasn’t a very nice man--as the alien imposter who now occupies his body discovers. Sent to Earth to destroy evidence that Andrew had solved a major mathematical problem, the alien soon finds himself learning more about the professor, his family, and “the humans” than he ever expected. When he begins to fall for his own wife and son--who have no idea he’s not the real Andrew--the alien must choose between completing his mission and returning home or finding a new home right here on Earth.",2013,Simon  Schuster,4.09,1301,14,59221,7375,True
"Understanding China: Learning from China's Past, Present, and Future",2805,Stefan Piech,18797335,False,"In this comprehensive overview of the Chinese state, the author does a great job of highlighting key periods and events from the history of China, and uses these to contextualise modern-day China. It is rare to find such a comprehensive, yet concise story of the Chinese state, and it makes for a great read! In addition to this, the author is bold in discussing the future of China, which proves thought-provoking and will leave you wanting to discuss this book with friends and family. Couldn’t recommend it more!",unknown,unknown,4.67,1300,13,21,9,False
حول العالم في 200 يوم,2806,أنيس منصور,1270552,False,عرض في هذا الكتاب معلومات عن الدول المختلفة وخصوصاً دول جنوب شرق آسيا مثل الهند و سيلان وسنغافورة و أستراليا واليابان والفلبين وهونج كونج، ثم زار أيضا الولايات المتحدة الأمريكية وجزيرة هاواي. وتحدث أيضا خلال رحلته إلى اليابان عن اللؤلؤ المستزرع الذي أكتشفه ميكوموتو الذي قام بأول عملية استزراع للؤلؤ.وكتب عما أعجبه في هذه البلاد من تقاليد وعادات مختلفة، وتشابهها مع عادات الدول الأخرى. وتحدث في الكتاب عن اعتزازه بكونه أول صحفي في العالم كله أجري مقابله حصرية مع الدالاي لاما رئيس دولة التبت (الحائز علي جائزة نوبل في السلام )، وقد أجرى معه مقابلة حصرية، وتم أخذ صورة لأنيس منصور مع الدالاي لاما (تظهر الصورة في الصفحة 106) من الكتاب، وكانت هذه أول صورة يراها العالم للدالاي لاما وقد تم نشرها بدار اخبار اليوم بمصر  لتحميل الكتاب من هذا الرابط : <a target=_blank rel=noopener nofollow href=http://mmaqara2tt.com/index.php/books/view/75>http://mmaqara2tt.com/index.php/books...,2008,دار الشروق,4.07,1299,14,10654,873,True
Sula,2807,Toni Morrison,3534,False,"This rich and moving novel traces the lives of two black heroines from their close-knit childhood in a small Ohio town, through their sharply divergent paths of womanhood, to their ultimate confrontation and reconciliation.  Nel Wright has chosen to stay in the place where she was born, to marry, raise a family, and become a pillar of the black community. Sula Peace has rejected the life Nel has embraced, escaping to college, and submerging herself in city life. When she returns to her roots, it is as a rebel and a wanton seductress. Eventually, both women must face the consequences of their choices. Together, they create an unforgettable portrait of what it means and costs to be a black woman in America.",2002,Plume Books,3.95,1299,16,69418,4191,True
Ordeal,2808,Tatyana K. Varenko,4078538,False,"Luella, fierce, strong vampire, Falls for a pretty human catch Sent on her fiancé's desire To celebrate they are engaged.  This unexpected turnabout Is doomed to come to a dead end: Her human sweetheart's dead to shroud; Her fiancé's avenged for that;  And she is punished for blood treason, Banished into a mortal child, Whose human body is a prison For all her powers to bind.  Her memories obliterated, She is to find her love at last Who proves to be too much related To the misfortunes from her past.",2010,CreateSpace,3.93,1298,13,117,54,False
The Carnivorous Carnival,2809,Lemony Snicket,36746,True,",  The word carnivorous, which appears in the title of this book, means meat-eating, and once you have read such a bloodthirsty word, there is no reason to read any further. This carnivorous volume contains such a distressing story that consuming any of its contents would be far more stomach-turning than even the most imbalanced meal.  To avoid causing discomfort, it would be best if I didn't mention any of the unnerving ingredients of this story, particularly a confusing map, an ambidextrous person, an unruly crowd, a wooden plank, and Chabo the Wolf Baby.  Sadly for me, my time is filled with researching and recording the displeasing and disenchanting lives of the Baudelaire orphans. But your time might be better filled with something more palatable, such as eating your vegetables, or feeding them to someone else.  , ",2002,HarperCollins Publishers,3.98,1297,21,111386,2612,False
Dealing with Dragons,2810,Patricia C. Wrede,36122,True,"Cimorene is everything a princess is  supposed to be: headstrong, tomboyish, smart - and bored. So bored that she runs away to live with a dragon - and finds the family and excitement she's been looking for.  Cover illustrator: Peter de Sève",2002,HMH Books for Young Readers,4.12,1297,18,88415,3610,True
Piercing the Darkness,2811,Frank E. Peretti,5544,True,"The light shines in the darkness, and the darkness has not overcome it. John 1:5 (ESV)  It all begins in Bacon's Corner, a tiny farming community far from the interstate . . . An attempted murder, a case of mistaken-or is it covered up?-identity, and a ruthless lawsuit against a struggling Christian school. Sally Beth Roe, a young loner, a burnout, a kind of leftover hippie,finds herself caught in the middle of these bizarre events, fleeing for her life while trying to recall her dark past.  Across a vast panorama of heart-stopping action, Sally Roe's journey is a penetrating portrayal of our times, a reflection of our wanderings, and a vivid reminder of the redemptive power of the Cross. A companion volume to This Present Darkness, readers have purchased over two million copies of Piercing the Darkness since its publication in 1989.",2003,Crossway Books,4.32,1297,18,55208,756,False
Queen of the Darkness,2812,Anne Bishop,26897,True,"  Jaenelle Angelline now reigns as Queen-protector of the Shadow Realm. No longer will the corrupt Blood slaughter her people and defile her lands. But where one chapter ends, a final, unseen battle remains to be written, and Jaenelle must unleash the terrible power that is Witch to destroy her enemies once and for all.  Even so, she cannot stand alone. Somewhere, long lost in madness, is Daemon, her promised Consort. Only his unyielding love can complete her Court and secure her reign. Yet, even together, their strength may not be enough to hold back the most malevolent of forces.",2000,Roc,4.37,1296,17,25690,678,False
ESV Study Bible,2813,Anonymous,5158478,False,"The ESV Study Bible was designed to help you understand the Bible in a deeper way. Created by a diverse team of 95 leading Bible scholars and teachers--from 9 countries, nearly 20 denominations, and 50 seminaries, colleges, and universities--the ESV Study Bible features a wide array of study tools, making it a valuable resource for serious readers, students, and teachers of God's Word.  Features:   Size: 6.5- x 9.25- 9-point Lexicon type (single-column Bible text); 7-point Frutiger type (double-column study notes) 2,752 pages Black letter text Concordance Extensive articles 240 full-color maps and illustrations Smyth-sewn binding Lifetime guarantee Packaging: J-card (HC), clamshell box (TruTone and leather), permanent slipcase (cloth over board)",2008,Crossway,4.78,1296,14,13169,321,False
The Alice Network,2814,Kate Quinn,2974095,False,"In an enthralling new historical novel from national bestselling author Kate Quinn, two women—a female spy recruited to the real-life Alice Network in France during World War I and an unconventional American socialite searching for her cousin in 1947—are brought together in a mesmerizing story of courage and redemption.   1947. In the chaotic aftermath of World War II, American college girl Charlie St. Clair is pregnant, unmarried, and on the verge of being thrown out of her very proper family. She's also nursing a desperate hope that her beloved cousin Rose, who disappeared in Nazi-occupied France during the war, might still be alive. So when Charlie's parents banish her to Europe to have her little problem taken care of, Charlie breaks free and heads to London, determined to find out what happened to the cousin she loves like a sister.  1915. A year into the Great War, Eve Gardiner burns to join the fight against the Germans and unexpectedly gets her chance when she's recruited to work as a spy. Sent into enemy-occupied France, she's trained by the mesmerizing Lili, code name Alice, the queen of spies, who manages a vast network of secret agents right under the enemy's nose.   Thirty years later, haunted by the betrayal that ultimately tore apart the Alice Network, Eve spends her days drunk and secluded in her crumbling London house. Until a young American barges in uttering a name Eve hasn't heard in decades, and launches them both on a mission to find the truth...no matter where it leads.",2017,William Morrow Paperbacks,4.27,1296,15,272546,22198,True
The Nanny Song,2815,Misty Mount,15569092,False,"Mallory Riscoe is no stranger to dysfunction. Despite her tumultuous childhood, at twenty-two, she has established herself as a fully functional, self-made woman. However the safe, mundane life she has created for herself is quickly turned upside-down when she's falsely accused of theft and promptly fired.    Meanwhile, a dismal pall hangs over the Colt residence. Since the death of his wife, Brendan Colt has struggled to care for his children; Kason and Meela. Each is lost in their own deep grief, but there is more to this family than meets the eye.    Two worlds collide when Mallory accepts the job as nanny to the Colt children. Mallory begins to feel a connection, a whisper of trust between them, that could mean there is still hope for everyone involved to heal. But when an unspeakable secret is uncovered that bond, and possibly Mallory's life itself is now at risk. Can Mallory unlock the mystery intertwined in this chaotic family or will all hope of closure be lost forever?",2018,Willow River Press,4.24,1296,14,857,37,False
Jingo,2816,Terry Pratchett,1654,True,"  Throughout history, there's always been a perfectly good reason to start a war. Never more so if it is over a 'strategic' piece of old rock in the middle of nowhere. It is after all every citizen's right to bear arms to defend what they consider to be their own. Even if it isn't. And in such pressing circumstances, you really shouldn't let small details like the absence of an army or indeed the money to finance one get in the way of a righteous fight with all the attendant benefits of out-and-out nationalism...",2006,Corgi Books,4.15,1295,21,55399,1490,False
The White Dragon,2817,Anne McCaffrey,26,True,"Jaxom, a rebellious young aristocrat, and Ruth, his white dragon, fly into another time to retrieve the queen's stolen egg, thereby averting a dragonrider war, and find their planet threatened once again by a Threadfall.",1986,Del Rey/Ballantine Books,4.18,1295,23,43165,893,True
History of the Peloponnesian War,2818,Thucydides,957,False,"Written four hundred years before the birth of Christ, this detailed contemporary account of the long life-and-death struggle between Athens and Sparta stands an excellent chance of fulfilling its author's ambitious claim. Thucydides himself (c.460-400 BC) was an Athenian and achieved the rank of general in the earlier stages of the war. He applied thereafter a passion for accuracy and a contempt for myth and romance in compiling this factual record of a disastrous conflict.",1972,Penguin Books,3.89,1294,17,31920,862,False
I Dream of Yellow Kites,2819,Retta Bono,15106534,False,"When you realized your life-like dream wasn't real, you woke up. But when I realized my life was a dream, I didn't wake up.   When Dahlia Adler sees her body lying twisted and crumpled on the ground below her, she wonders if it isn't all just a nightmare. But as things become clearer, Dahlia realizes it's all too real. She has to find her killer. And she has to move on.",unknown,unknown,4.09,1294,13,64,4,False
High-Rise,2820,J.G. Ballard,7010931,False,"When a class war erupts inside a luxurious apartment block, modern elevators become violent battlegrounds and cocktail parties degenerate into marauding attacks on enemy floors. In this visionary tale, human society slips into violent reverse as once-peaceful residents, driven by primal urges, re-create a world ruled by the laws of the jungle.",2012,Liveright,3.61,1293,16,26027,2416,False
The Magician,2821,Michael Scott,27100,True,"Alternative Cover Edition of ISBN 9780552562539 other edition found <a href=https://www.goodreads.com/book/show/48246537-the-magician rel=nofollow noopener>here  After fleeing Ojai, Nicholas, Sophie, Josh, and Scatty emerge in Paris, the City of Lights. Home for Nicholas Flamel. Only this homecoming is anything but sweet. Perenelle is still locked up back in Alcatraz and Paris is teeming with enemies. Niccolo Machiavelli, immortal author and celebrated art collector, is working for Dee. He’s after them, and time is running out for Nicholas and Perenelle. For every day spent without the Book of Abraham the Mage, they age one year-their magic becoming weaker and their bodies more frail. For Flamel, the Prophecy is becoming more and more clear.  It’s time for Sophie to learn the second elemental magic: Fire Magic. And there’s only one man who can teach it to her: Flamel’s old student, the Comte de Saint-Germain-alchemist, magician, and rock star. Josh and Sophie Newman are the world’s only hope-if they don’t turn on each other first.",2008,Delacorte Press,4.1,1293,20,88137,2999,False
Labyrinth,2822,Kate Mosse,9343,True,"In the Pyrenees mountains near Carcassonne, Alice, a volunteer at an archaeological dig, stumbles into a cave and makes a startling discovery-two crumbling skeletons, strange writings on the walls, and the pattern of a labyrinth. Eight hundred years earlier, on the eve of a brutal crusade that will rip apart southern France, a young woman named Alais is given a ring and a mysterious book for safekeeping by her father. The book, he says, contains the secret of the true Grail, and the ring, inscribed with a labyrinth, will identify a guardian of the Grail. Now, as crusading armies gather outside the city walls of Carcassonne, it will take a tremendous sacrifice to keep the secret of the labyrinth safe.",2007,Berkley Books,3.59,1293,17,48979,3165,True
You,2823,Caroline Kepnes,202260,True,"When a beautiful aspiring writer strides into the East Village bookstore where Joe Goldberg works, he does what anyone would do: he Googles the name on her credit card.  There is only one Guinevere Beck in New York City. She has a public Facebook account and Tweets incessantly, telling Joe everything he needs to know: she is simply Beck to her friends, she went to Brown University, she lives on Bank Street, and she’ll be at a bar in Brooklyn tonight—the perfect place for a “chance” meeting.  As Joe invisibly and obsessively takes control of Beck’s life, he orchestrates a series of events to ensure Beck finds herself in his waiting arms. Moving from stalker to boyfriend, Joe transforms himself into Beck’s perfect man, all while quietly removing the obstacles that stand in their way—even if it means murder.  A terrifying exploration of how vulnerable we all are to stalking and manipulation, debut author Caroline Kepnes delivers a razor-sharp novel for our hyper-connected digital age.",2018,Atria/Emily Bestler Books,3.91,1293,15,162059,19552,False
Phantom,2824,Susan  Kay,111001,False,"This incredible portrait of Erik--the Phantom--recreates his entire life, from his survival as a child in a carnival freak show to his creative genius behind the Paris Opera House--and its labyrinthine world below--to his discovery of love.",2006,Aeon Publishing Inc.,4.33,1293,17,11458,881,True
Trust: A New Beginning,2825,Cristiane Serruya,6583811,True,"They are beautiful. They are rich. They are strong willed and successful. They have everything, but love. And each one of them has a dark secret looming in their past.  Sophia is a 25 year old Brazilian widow. Intelligent and ravishing, she flees from her own country after a tragic incident. Hiding from everyone and everything, she remains alone, torn between the love for a dead man, the torment of living without part of her memory and the fear of moving on.   Ethan is one of the most important tycoons in the steel industry. As the memory of an awful evening in his adolescence haunts him night and day, he keeps looking for an elusive woman whom he could love - and who would love him - as he never has in all his 35 years... Until he finds Sophia.   Alistair is a 34 year old powerful banker, searching for one–night stands with women who will warm his bed. And that he can punish physically to abate his anger for his late wife's black deeds and his own guilt for being such a debauched man for so many years. Any woman will do, and he has many to choose from, as they all fall instantly for his manly, devilish charming ways.  In Europe, in the months after October 2009, their paths will cross and clash. Who will win the prize of love?    This book is the first installment of a trilogy. It is intended for 18 and up.",2012,CreateSpace,3.48,1292,13,2768,146,True
The Jungle Book,2826,Rudyard Kipling,6989,True,"The Jungle Book key characters are Mowgli, a boy raised by wolves and Sher Khan, biggest tiger in India. As Baloo the sleepy brown bear, Bagheera the cunning black panther, Kaa the python, and his other animal friends teach their beloved “man-cub” the ways of the jungle, Mowgli gains the strength and wisdom he needs for his frightful fight with Shere Khan, the tiger who robbed him of his human family. But there are also the tales of Rikki-tikki-tavi the mongoose and his “great war” against the vicious cobras Nag and Nagaina; of Toomai, who watches the elephants dance; and of Kotick the white seal, who swims in the Bering Sea.",1992,Tor Classics ,3.92,1291,18,106342,3758,True
Donde los árboles cantan,2827,Laura Gallego García,228898,False,"Viana, la única hija del duque de Rocagrís, está prometida al joven Robian de Castelmar desde que ambos eran niños. Los dos se aman y se casarán en primavera. Sin embargo, durante los festejos del solsticio de invierno, un arisco montaraz advierte al rey de Nortia y sus caballeros de la amenaza de los bárbaros de las estepas... y tanto Robian como el duque se ven obligados a marchar a la guerra. En tales circunstancias, una doncella como Viana no puede hacer otra cosa que esperar su regreso... y, tal vez, prestar atención a las leyendas que se cuentan sobre el Gran Bosque... el lugar donde los árboles cantan.",2011,SM,4.22,1289,14,13610,1346,True
"Capital, Vol. 1: A Critical Analysis of Capitalist Production",2828,Karl Marx,7084,True,", one of Marx's major and most influential works, was the product of thirty years close study of the capitalist mode of production in England, the most advanced industrial society of his day. This new translation of , the only volume to be completed and edited by Marx himself, avoids some of the mistakes that have marred earlier versions and seeks to do justice to the literary qualities of the work. The introduction is by Ernest Mandel, author of , one of the only comprehensive attempts to develop the theoretical legacy of Capital.",1990,Penguin Classics,4.23,1287,15,8667,522,False
Reunion,2829,Jenny Carroll,167932,True,"  The RLS Angels are out for blood, and only Suze can stop them - since she's the only one who can see them. The four ghostly teenagers died in a terrible car accident, for which they blame Suze's classmate Michael... and they'll stop at nothing until he's joined them in the realm of the dead.  As Suze desperately fends off each attempt on Michael's life, she finds she can relate to the Angels' fury. Because their deaths turn out not to have been accidental at all. And their killer is only too willing to strike again.",2005,HarperTeen,4.07,1287,17,37434,799,False
"Where'd You Go, Bernadette",2830,Maria Semple,1588088,False,"Bernadette Fox has vanished.  When her daughter Bee claims a family trip to Antarctica as a reward for perfect grades, Bernadette, a fiercely intelligent shut-in, throws herself into preparations for the trip. But worn down by years of trying to live the Seattle life she never wanted, Ms. Fox is on the brink of a meltdown. And after a school fundraiser goes disastrously awry at her hands, she disappears, leaving her family to pick up the pieces--which is exactly what Bee does, weaving together an elaborate web of emails, invoices, and school memos that reveals a secret past Bernadette has been hiding for decades.  is an ingenious and unabashedly entertaining novel about a family coming to terms with who they are and the power of a daughter's love for her mother.",2012,"Little, Brown and Company",3.89,1287,16,496056,43705,True
Hunting Ground,2831,Patricia Briggs,40563,True,"Anna Latham didn’t know how complicated life could be until she became a werewolf. And until she was mated to Charles Cornick, the son — and enforcer — of Bran, the leader of the North American werewolves, she didn’t know how dangerous it could be either...  Anna and Charles have just been enlisted to attend a summit to present Bran’s controversial proposition: that the wolves should finally reveal themselves to humans. But the most feared Alpha in Europe is dead set against the plan — and it seems like someone else might be too. When Anna is attacked by vampires using pack magic, the kind of power only werewolves should be able to draw on, Charles and Anna must combine their talents to hunt down whoever is behind it all — or risk losing everything...",2009,Ace,4.26,1286,20,61805,2229,True
Thinner,2832,Richard Bachman,5858,False,"Billy Halleck, good husband and loving father, is both beneficiary and victim of the American good life: He has an expensive home, a nice family, and a rewarding career as a lawyer...but he is also fifty pounds overweight and edging into heart attack country.",1996,Signet,3.73,1286,21,179112,2687,False
Wings of Fire: An Autobiography,2833,A.P.J. Abdul Kalam,986042,False,"Avul Pakir Jainulabdeen Abdul Kalam, the son of a little-educated boat-owner in Rameswaram, Tamil Nadu, had an unparalleled career as a defence scientist, culminating in the highest civilian award of India, the Bharat Ratna. As chief of the country's defence research and development programme, Kalam demonstrated the great potential for dynamism and innovation that existed in seemingly moribund research establishments. This is the story of Kalam's rise from obscurity and his personal and professional struggles, as well as the story of Agni, Prithvi, Akash, Trishul and Nag-missiles that have become household names in India and that have raised the nation to the level of a missile power of international reckoning. This is also the saga of independent India's struggle for technological self-sufficiency and defensive autonomy-a story as much about politics, domestic and international, as it is about science.",2011,Universities Press,4.23,1286,14,42331,1620,False
The Kings of Clonmel,2834,John Flanagan,34049,True,"When a cult springs up in neighboring Clonmel, promising to quell the recent attacks by lawless marauders, people flock from all over to offer gold in exchange for protection. But Halt is all too familiar with this particular group, and he knows they have a less than charitable agenda. Secrets will be unveiled and battles fought to the death as Will and Horace help Halt in ridding the land of a dangerous enemy.",2010,Random House,4.3,1285,17,48142,1301,False
Matterhorn,2835,Karl Marlantes,2904306,False,"A big, powerful saga of men in combat, written over the course of thirty-five years by a highly decorated Vietnam veteran.  Intense, powerful, and compelling,  is an epic war novel in the tradition of Norman Mailer's  and James Jones's . It is the timeless story of a young Marine lieutenant, Waino Mellas, and his comrades in Bravo Company, who are dropped into the mountain jungle of Vietnam as boys and forced to fight their way into manhood. Standing in their way are not merely the North Vietnamese but also monsoon rain and mud, leeches and tigers, disease and malnutrition. Almost as daunting, it turns out, are the obstacles they discover between each other: racial tension, competing ambitions, and duplicitous superior officers. But when the company finds itself surrounded and outnumbered by a massive enemy regiment, the Marines are thrust into the raw and all-consuming terror of combat. The experience will change them forever.  Written over the course of thirty years by a highly decorated Vietnam veteran,  is a visceral and spellbinding novel about what it is like to be a young man at war. It is an unforgettable novel that transforms the tragedy of Vietnam into a powerful and universal story of courage, camaraderie, and sacrifice: a parable not only of the war in Vietnam but of all war, and a testament to the redemptive power of literature.  A graduate of Yale University and a Rhodes Scholar at Oxford University, Karl Marlantes served as a Marine in Vietnam, where he was awarded the Navy Cross, the Bronze Star, two Navy Commendation Medals for valor, two Purple Hearts, and ten air medals. This is his first novel. He lives in rural Washington State.",2009,El Leon Literary Arts,4.22,1285,17,38396,3246,True
Prozac Nation,2836,Elizabeth Wurtzel,4370,False,"A harrowing story of breakdowns, suicide attempts, drug therapy, and an eventual journey back to living, this poignant and often hilarious book gives voice to the high incidence of depression among America's youth. A collective cry for help from a generation who have come of age entrenched in the culture of divorce, economic instability, and AIDS, here is the intensely personal story of a young girl full of promise, whose mood swings have risen and fallen like the lines of a sad ballad.",1995,Riverhead Books,3.6,1284,19,56021,1930,False
The Lunatic Cafe,2837,Laurell K. Hamilton,9550,True,"Anita has fallen for the leader of a local pack of werewolves. She's survived a lot, but this love thing may kill her yet.",2005,Berkley Hardcover,4.12,1284,19,74234,1441,True
Any Human Heart,2838,William  Boyd,8170,False,"Logan Gonzago Mountstuart, writer, was born in 1906, and died of a heart attack on October 5, 1991, aged 85. William Boyd's novel Any Human Heart is his disjointed autobiography, a massive tome chronicling my personal rollercoaster--or rather, not so much a rollercoaster, but a yo-yo, a jerking spinning toy in the hands of a maladroit child. From his early childhood in Montevideo, son of an English corned beef executive and his Uraguayan secretary, through his years at a Norfolk public school and Oxford, Mountstuart traces his haphazard development as a writer. Early and easy success is succeeded by a long half-century of mediocrity, disappointments and setbacks, both personal and professional, leading him to multiple failed marriages, internment, alcoholism, and abject poverty.  Mountstuart's sorry tale is also the story of a British way of life in inexorable decline, as his journey takes in the Bloomsbury set, the General Strike, the Spanish Civil War, 1930s Americans in Paris, wartime espionage, New York avant garde art, even the Baader-Meinhof gang--all with a stellar supporting cast. The most sustained and best moment comes mid-book, as Mountstuart gets caught up in one of Britain's murkier wartime secrets, in the company of the here truly despicable Duke and Duchess of Windsor. Elsewhere Boyd occasionally misplaces his tongue too obviously in his cheek--the Wall Street Crash is trailed with truly crashing inelegance--but overall Any Human Heart is a witty, inventive and ultimately moving novel. Boyd succeeds in conjuring not only a compelling 20th century but also, in the hapless Logan Mountstuart, an anti-hero who achieves something approaching passive greatness. --Alan Stewart, Amazon.co.uk",2004,Vintage,4.28,1283,16,16557,1513,True
Lord Loss,2839,Darren Shan,5816,True,"The first novel in a chilling new series by Darren Shan, author of the New York Times bestselling Cirque Du Freak series, will keep readers turning page after horrifying page.   Grubbs Grady has stiff red hair and is a little big for his age, which means he can get into R-rated movies. He hates history and loves bacon, rats, and playing tricks on his squeamish older sister. When he opts out of a family weekend trip, he never guesses that he is about to take a terrifying journey into darkness. Hungry demons and howling werewolves haunt his waking nightmares... and threaten his life.",2006,"Little, Brown Books for Young Readers",4.23,1282,15,20286,1358,False
Dare You To,2840,Katie McGarry,4575371,True,"  If anyone knew the truth about Beth Risk's home life, they'd send her mother to jail and seventeen-year-old Beth who knows where. So she protects her mom at all costs. Until the day her uncle swoops in and forces Beth to choose between her mom's freedom and her own happiness. That's how Beth finds herself living with an aunt who doesn't want her and going to a school that doesn't understand her. At all. Except for the one guy who shouldn't get her, but does....  Ryan Stone is the town golden boy, a popular baseball star jock-with secrets he can't tell anyone. Not even the friends he shares everything with, including the constant dares to do crazy things. The craziest? Asking out the Skater girl who couldn't be less interested in him.  But what begins as a dare becomes an intense attraction neither Ryan nor Beth expected. Suddenly, the boy with the flawless image risks his dreams-and his life-for the girl he loves, and the girl who won't let anyone get too close is daring herself to want it all....",2013,Harlequin Teen,4.16,1282,18,39908,3735,True
